date,close,high,low,trade_count,open,volume,vwap
2023-10-05 04:00:00+00:00,424.31,425.37,421.21,8313,424.42,1030251,423.543613
2023-10-06 04:00:00+00:00,429.44,431.11,420.6,12251,422.165,1659220,427.33989
2023-10-09 04:00:00+00:00,432.24,432.86,427.04,8216,427.49,899989,430.253701
2023-10-10 04:00:00+00:00,434.47,437.205,432.53,11512,433.02,1484259,435.101267
2023-10-11 04:00:00+00:00,436.33,436.57,433.18,8299,435.68,871580,435.093217
2023-10-12 04:00:00+00:00,433.68,437.32,431.24,9888,436.86,1368679,433.86534
2023-10-13 04:00:00+00:00,431.625,436.39,429.9,11067,435.26,1607990,432.037295
2023-10-16 04:00:00+00:00,436.04,437.115,433.57,11167,433.81,1328669,435.895098
2023-10-17 04:00:00+00:00,436.11,438.13,432.48,9477,432.77,1203633,435.462772
2023-10-18 04:00:00+00:00,430.24,435.115,429.09,10500,434.05,1357315,431.83497
2023-10-19 04:00:00+00:00,426.43,432.82,425.74,11176,430.89,1559608,428.887113
2023-10-20 04:00:00+00:00,421.25,426.48,421.08,13239,425.89,1939948,422.832077
2023-10-23 04:00:00+00:00,420.52,424.45,417.82,12379,419.54,1325831,421.528992
2023-10-24 04:00:00+00:00,423.56,424.81,420.74,9569,422.69,1114518,423.173975
2023-10-25 04:00:00+00:00,417.62,421.91,417.03,13261,421.91,1306827,418.898728
2023-10-26 04:00:00+00:00,412.6,417.29,411.71,14677,416.46,2260803,414.124279
2023-10-27 04:00:00+00:00,410.76,414.57,409.24,14357,414.385,1810349,411.014556
2023-10-30 04:00:00+00:00,415.64,416.67,412.27,12576,413.56,1450213,415.021173
2023-10-31 04:00:00+00:00,418.18,418.5,414.21,11854,416.17,1403280,417.191216
2023-11-01 04:00:00+00:00,422.66,423.485,418.68,12851,419.285,1521992,421.096835
2023-11-02 04:00:00+00:00,430.69,430.91,426.6,13935,426.6,1370443,429.459299
2023-11-03 04:00:00+00:00,434.72,436.29,433.11,12916,433.135,1452655,434.990001
2023-11-06 05:00:00+00:00,435.69,436.14,433.71,11269,435.48,1260585,435.081134
2023-11-07 05:00:00+00:00,436.89,437.58,434.51,12015,435.66,1139427,436.701652
2023-11-08 05:00:00+00:00,437.43,438.09,434.895,8956,437.5,938576,436.891127
2023-11-09 05:00:00+00:00,433.88,438.47,433.41,10247,438.38,1103998,435.52617
2023-11-10 05:00:00+00:00,440.72,440.92,434.45,13075,435.99,1796559,438.805045
2023-11-13 05:00:00+00:00,440.17,441.325,438.445,10945,439.21,1119503,440.144564
2023-11-14 05:00:00+00:00,448.66,450.05,446.13,16730,446.35,2091007,448.787494
2023-11-15 05:00:00+00:00,449.69,451.38,448.82,12462,450.28,1593220,450.112512
2023-11-16 05:00:00+00:00,450.25,450.51,448.18,11304,449.225,1360772,449.565408
2023-11-17 05:00:00+00:00,450.74,451.395,449.31,11727,450.23,1080958,450.510449
2023-11-20 05:00:00+00:00,454.26,455.1,450.57,13164,450.63,1608190,453.504205
2023-11-21 05:00:00+00:00,453.28,453.62,451.97,10378,453.235,1105748,452.979556
2023-11-22 05:00:00+00:00,455.0,456.33,453.93,10451,454.995,1146131,455.100041
2023-11-24 05:00:00+00:00,455.26,455.42,454.75,4648,455.08,425092,455.058479
2023-11-27 05:00:00+00:00,454.515,455.49,454.09,10289,454.69,1009412,454.805868
2023-11-28 05:00:00+00:00,454.87,456.26,453.51,10655,454.02,1065276,454.804314
2023-11-29 05:00:00+00:00,454.66,458.31,454.21,11918,457.13,1583960,455.690664
2023-11-30 05:00:00+00:00,456.28,456.75,453.385,12099,455.45,1601972,455.132518
2023-12-01 05:00:00+00:00,458.99,459.63,455.16,15054,455.68,1728551,458.077678
2023-12-04 05:00:00+00:00,456.59,456.93,454.395,14037,455.54,1613164,455.865875
